publications2	entries	PMID
O'Sullivan et al 2012 A paradigm shift in the delivery of services for diagnosis of inherited retinal disease. J Med Genet.  May	52315	22581970
"Orho, M., Bosshard 1998"	30487	9691087
Orlacchio A	22132	16130112
Orlacchio et al. 2008	22137	18401025
Orthmann-Murphy et al. 2009	407;781;4893;22110	19056803
"Ostergaard et al., 2015, J. Med. Genet., 52, 203-207."	8341;32582	25604084
PMC1378014	732;1913;20571;21033;21295	10762541
PMC3773904	22330	20037589
PMC3912419	30369;30454;33499	24389050
PMC4207928	10175	24601690
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_524	7124;27392;59220	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_560	7319;27402;59232	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_575	7306;27400;59230	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_578	7168;59224	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_584	4989;27285;59068	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_585	27380	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_586	27381	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_628	7313;27401;59231	25655951
Parikh et al. Molecular Genetics and Metabolism 114 2015 501_634	7128;27393;59221	25655951
"Parkinson disease 6, early onset"	15049	None
Partington et al 1998 Am J Med Genet 30: 251-262	15171;35603;55955	3177452
Patel et al. 2002	905	12134148
Paznekas et al 2009 Hum Mutat30:724-733	2982	19338053
Peippo et al 2005 Clin Dysmorphol 15: 47_54	15240;36288;56101	16531728
Percin et al 2000 Nature Genet. 25: 397-401	2937	10932181
Perrault et al 2014 AJHG 946. 891-897	15279;36725;56219	24814191
"Porath B, Gainullin VG, Cornec-Le Gall E, Dillinger EK, Heyer CM, Hopp K, Edwards ME, Madsen CD, Mauritz SR, Banks CJ, Baheti S, Reddy B, Herrero JI, Bañales JM, Hogan MC, Tasic V, Watnick TJ, Chapman AB, Vigneau C, Lavainne F, Audrézet MP, Ferec C, Le Meur Y, Torres VE, Genkyst Study Group, HALT Progression of Polycystic Kidney Disease Group, Consortium for Radiologic Imaging Studies of Polycystic Kidney Disease, Harris PC. Mutations in GANAB, Encoding the Glucosidase IIα Subunit, Cause Autosomal-Dominant Polycystic Kidney and Liver Disease. Am J Hum Genet. 2016 Jun 2"	11392;11497;48065;48794;58459	27259053
Pras et al 2004 Invest Ophthalmol 45:1940-5	2870	15161861
Publications in OMIM	52223	18371931;20007846;14502283;23793029;12514735;8874114;12872122;10631142;11134256;11752023;19303681;19177160;9329956
Rainier et al. 2003	832;22064	14508710
Rainier et al. 2008	22070	18313024
Ramachandran et al 2007 Hum Genet 1213-4:475-82	2833	17225135
Ramocki et al 2009 Am J Med Genet Part A 152A: 1079_1088	15447;38374;56637	20425814
Reid et al. 2002	22061	12355402
"Review of the literature from Stephanie Barton (Manchester) - Bowne et al 2008 Two different TOPORS mutations, p.Glu808X and p.Arg857GlyfsX9, were each identified in one proband. Patients with these mutations exhibited clinical signs typical of advanced adRP. Mol Vis May 19"	52315	18509552
"Review of the literature from Stephanie Barton (Manchester) - L Bielas et al 2009 Mutations in INPP5E, encoding inositol polyphosphate-5-phosphatase E, link phosphatidyl inositol signaling to the ciliopathies. Nat. Genet. 41:1032-1036"	52183	19668216
"Reyes et al., 2005, Am. J. Hum. Genet., 97,  186-193."	6990;6991;24525;31241;32442;39768;55602;57055	26094573
Reynier et al 2004 J Med genet 41:e110	2901	15342707
Richards et al 2006 Hm Mutat 27:694-704	2840	16752401
Riise Steinland et al 2011 Hum Mutat 33:511-520	2889	22161967
Rossi et al 2007 Am J Med Genet A 143A:2371-2381	2926	17853487
Rubio-Cabezas et al 2011 Diabetes 60:1349-1353	14541;32942	21378176
SEIZURES AND LACTIC ACIDOSIS	6362;32338;55435	None
Saito et al 2010 Am J Med Genet 92:184-190	2977	10817652
Saitsu 2015	15352;37436;56407	25966631
Saitsu et al 2013 Nat Genet. 454:445-9	15714;41154;57389	23435086
Saugier-Veber et al 1994	848;22069	8012387
Scholl et al 2009	15411;37968;56543	19289823
Schorderet et al 2008 Am. J. Hum. Genet. 82: 1178-1184	2877	18423520
Schule et al. 2009	22135	19357379
Schuurs-Hoeijmakers et al. 2012	752;22047	23176823
See OMIM https://www.omim.org/entry/603896	22124	15136673;8309512;11704758;18263758;15776425;10334484;8122885;9153528;25843247;7644053;9109866;9710032;11835386;12453083;25761052
Serajee et al. (ASHG conference 2015 - abstract Nr. 2299T)	7390;15671;24894;28788;40690;40691;57271	None
Several mutations reported on HGMD in patients with Usher syndrome Type 1 and also non-syndromic deafness.	52236	None
