MeSH	disease
Classical Lissencephalies and Subcortical Band Heterotopias	FET
Cobblestone Lissencephaly	FET
Walker-Warburg Syndrome	FET
Periventricular Nodular Heterotopia	FET
"Malformations of Cortical Development, Group III"	FET
Polymicrogyria	FET
Porencephaly	FET
Schizencephaly	FET
Neural Tube Defects	FET
Anencephaly	FET
Arnold-Chiari Malformation	FET
Encephalocele	FET
Meningocele	FET
Meningomyelocele	FET
Pentalogy of Cantrell	FET
Spinal Dysraphism	FET
Spina Bifida Cystica	FET
Spina Bifida Occulta	FET
Optic Nerve Hypoplasia	FET
Septo-Optic Dysplasia	FET
Respiratory System Abnormalities	FET
Bronchogenic Cyst	FET
Bronchopulmonary Sequestration	FET
Choanal Atresia	FET
"Cystic Adenomatoid Malformation of Lung, Congenital"	FET
Kartagener Syndrome	FET
Laryngocele	FET
Laryngostenosis	FET
Scimitar Syndrome	FET
Tracheobronchomegaly	FET
